"274_20_newsgroups.drift","DefaultAccuracy","0.9894484172625894"
"274_20_newsgroups.drift","MajorityClassSize","395720"
"274_20_newsgroups.drift","MinorityClassSize","4220"
"274_20_newsgroups.drift","NumberOfClasses","2"
"274_20_newsgroups.drift","NumberOfFeatures","1002"
"274_20_newsgroups.drift","NumberOfInstances","399940"
"274_20_newsgroups.drift","NumberOfInstancesWithMissingValues","0"
"274_20_newsgroups.drift","NumberOfMissingValues","0"
"274_20_newsgroups.drift","NumberOfNumericFeatures","0"
"215_2dplanes","DefaultTargetNominal","0"
"215_2dplanes","DefaultTargetNumerical","1"
"215_2dplanes","NumberOfFeatures","11"
"215_2dplanes","NumberOfInstances","40768"
"215_2dplanes","NumberOfInstancesWithMissingValues","0"
"215_2dplanes","NumberOfMissingValues","0"
"215_2dplanes","NumberOfNumericFeatures","11"
"727_2dplanes","DefaultAccuracy","0.5008830455259027"
"727_2dplanes","MajorityClassSize","20420"
"727_2dplanes","MinorityClassSize","20348"
"727_2dplanes","NumberOfClasses","2"
"727_2dplanes","NumberOfFeatures","11"
"727_2dplanes","NumberOfInstances","40768"
"727_2dplanes","NumberOfInstancesWithMissingValues","0"
"727_2dplanes","NumberOfMissingValues","0"
"727_2dplanes","NumberOfNumericFeatures","10"
"1422_a1a","NumberOfFeatures","124"
"1422_a1a","NumberOfInstances","32561"
"1422_a1a","NumberOfInstancesWithMissingValues","0"
"1422_a1a","NumberOfMissingValues","0"
"1422_a1a","NumberOfNumericFeatures","124"
"1423_a2a","NumberOfFeatures","124"
"1423_a2a","NumberOfInstances","32561"
"1423_a2a","NumberOfInstancesWithMissingValues","0"
"1423_a2a","NumberOfMissingValues","0"
"1423_a2a","NumberOfNumericFeatures","124"
"1424_a3a","NumberOfFeatures","124"
"1424_a3a","NumberOfInstances","32561"
"1424_a3a","NumberOfInstancesWithMissingValues","0"
"1424_a3a","NumberOfMissingValues","0"
"1424_a3a","NumberOfNumericFeatures","124"
"1425_a4a","NumberOfFeatures","124"
"1425_a4a","NumberOfInstances","32561"
"1425_a4a","NumberOfInstancesWithMissingValues","0"
"1425_a4a","NumberOfMissingValues","0"
"1425_a4a","NumberOfNumericFeatures","124"
"1426_a5a","NumberOfFeatures","124"
"1426_a5a","NumberOfInstances","32561"
"1426_a5a","NumberOfInstancesWithMissingValues","0"
"1426_a5a","NumberOfMissingValues","0"
